MÊ;PRODUTO;PREÇO MÉDIO REVEN;;;;;;;;;;;;
abr/19;GLP;69,064;;;;;;;;;;;;
abr/19;GNV;3,168;;;;;;;;;;;;
abr/19;OLEO DIESEL;3,573;;;;;;;;;;;;
abr/19;OLEO DIESEL S10;3,660;;;;;;;;;;;;
mai/19;ETANOL HIDRATADO;2,990;;;;;;;;;;;;
mai/19;GASOLINA COMUM;4,552;;;;;;;;;;;;
mai/19;GLP;69,294;;;;;;;;;;;;
mai/19;GNV;3,162;;;;;;;;;;;;
mai/19;OLEO DIESEL;3,649;;;;;;;;;;;;
mai/19;OLEO DIESEL S10;3,730;;;;;;;;;;;;
jun/19;ETANOL HIDRATADO;2,819;;;;;;;;;;;;
jun/19;GASOLINA COMUM;4,468;;;;;;;;;;;;
jun/19;GLP;69,241;;;;;;;;;;;;
jun/19;GNV;3,161;;;;;;;;;;;;
jun/19;OLEO DIESEL;3,608;;;;;;;;;;;;
jun/19;OLEO DIESEL S10;3,692;;;;;;;;;;;;
jul/19;ETANOL HIDRATADO;2,776;;;;;;;;;;;;
jul/19;GASOLINA COMUM;4,351;;;;;;;;;;;;
jul/19;GLP;69,077;;;;;;;;;;;;
jul/19;GNV;3,148;;;;;;;;;;;;
jul/19;OLEO DIESEL;3,543;;;;;;;;;;;;
jul/19;OLEO DIESEL S10;3,631;;;;;;;;;;;;
ago/19;ETANOL HIDRATADO;2,829;;;;;;;;;;;;
ago/19;GASOLINA COMUM;4,316;;;;;;;;;;;;
ago/19;GLP;68,823;;;;;;;;;;;;
ago/19;GNV;3,157;;;;;;;;;;;;
ago/19;OLEO DIESEL;3,524;;;;;;;;;;;;
ago/19;OLEO DIESEL S10;3,612;;;;;;;;;;;;
set/19;ETANOL HIDRATADO;2,851;;;;;;;;;;;;
set/19;GASOLINA COMUM;4,326;;;;;;;;;;;;
set/19;GLP;68,859;;;;;;;;;;;;
set/19;GNV;3,156;;;;;;;;;;;;
set/19;OLEO DIESEL;3,592;;;;;;;;;;;;
set/19;OLEO DIESEL S10;3,671;;;;;;;;;;;;
out/19;ETANOL HIDRATADO;2,906;;;;;;;;;;;;
out/19;GASOLINA COMUM;4,380;;;;;;;;;;;;
out/19;GLP;68,771;;;;;;;;;;;;
out/19;GNV;3,181;;;;;;;;;;;;
out/19;OLEO DIESEL;3,705;;;;;;;;;;;;
out/19;OLEO DIESEL S10;3,777;;;;;;;;;;;;
nov/19;ETANOL HIDRATADO;2,974;;;;;;;;;;;;
nov/19;GASOLINA COMUM;4,413;;;;;;;;;;;;
nov/19;GLP;69,113;;;;;;;;;;;;
nov/19;GNV;3,188;;;;;;;;;;;;
nov/19;OLEO DIESEL;3,713;;;;;;;;;;;;
nov/19;OLEO DIESEL S10;3,786;;;;;;;;;;;;
dez/19;ETANOL HIDRATADO;3,125;;;;;;;;;;;;
dez/19;GASOLINA COMUM;4,531;;;;;;;;;;;;
dez/19;GLP;69,241;;;;;;;;;;;;
dez/19;GNV;3,203;;;;;;;;;;;;
dez/19;OLEO DIESEL;3,737;;;;;;;;;;;;
dez/19;OLEO DIESEL S10;3,811;;;;;;;;;;;;
jan/20;ETANOL HIDRATADO;3,226;;;;;;;;;;;;
jan/20;GASOLINA COMUM;4,579;;;;;;;;;;;;
jan/20;GLP;69,743;;;;;;;;;;;;
jan/20;GNV;3,211;;;;;;;;;;;;
jan/20;OLEO DIESEL;3,788;;;;;;;;;;;;
jan/20;OLEO DIESEL S10;3,856;;;;;;;;;;;;
fev/20;ETANOL HIDRATADO;3,248;;;;;;;;;;;;
fev/20;GASOLINA COMUM;4,550;;;;;;;;;;;;
fev/20;GLP;69,907;;;;;;;;;;;;
fev/20;GNV;3,209;;;;;;;;;;;;
fev/20;OLEO DIESEL;3,714;;;;;;;;;;;;
fev/20;OLEO DIESEL S10;3,795;;;;;;;;;;;;
mar/20;ETANOL HIDRATADO;3,196;;;;;;;;;;;;
mar/20;GASOLINA COMUM;4,462;;;;;;;;;;;;
mar/20;GLP;69,937;;;;;;;;;;;;
mar/20;GNV;3,195;;;;;;;;;;;;
mar/20;OLEO DIESEL;3,574;;;;;;;;;;;;
mar/20;OLEO DIESEL S10;3,665;;;;;;;;;;;;
abr/20;ETANOL HIDRATADO;2,784;;;;;;;;;;;;
abr/20;GASOLINA COMUM;4,066;;;;;;;;;;;;
abr/20;GLP;69,889;;;;;;;;;;;;
abr/20;GNV;3,184;;;;;;;;;;;;
abr/20;OLEO DIESEL;3,293;;;;;;;;;;;;
abr/20;OLEO DIESEL S10;3,392;;;;;;;;;;;;
mai/20;ETANOL HIDRATADO;2,550;;;;;;;;;;;;
mai/20;GASOLINA COMUM;3,818;;;;;;;;;;;;
mai/20;GLP;69,536;;;;;;;;;;;;
mai/20;GNV;3,098;;;;;;;;;;;;
mai/20;OLEO DIESEL;3,037;;;;;;;;;;;;
mai/20;OLEO DIESEL S10;3,140;;;;;;;;;;;;
jun/20;ETANOL HIDRATADO;2,655;;;;;;;;;;;;
jun/20;GASOLINA COMUM;3,964;;;;;;;;;;;;
jun/20;GLP;69,579;;;;;;;;;;;;
jun/20;GNV;3,080;;;;;;;;;;;;
jun/20;OLEO DIESEL;3,064;;;;;;;;;;;;
jun/20;OLEO DIESEL S10;3,152;;;;;;;;;;;;
jul/20;ETANOL HIDRATADO;2,739;;;;;;;;;;;;
jul/20;GASOLINA COMUM;4,144;;;;;;;;;;;;
jul/20;GLP;69,961;;;;;;;;;;;;
jul/20;GNV;3,062;;;;;;;;;;;;
jul/20;OLEO DIESEL;3,249;;;;;;;;;;;;
jul/20;OLEO DIESEL S10;3,327;;;;;;;;;;;;
ago/20;ETANOL HIDRATADO;2,768;;;;;;;;;;;;
ago/20;GASOLINA COMUM;4,237;;;;;;;;;;;;
ago/20;GLP;69,981;;;;;;;;;;;;
ago/20;GNV;3,015;;;;;;;;;;;;
ago/20;OLEO DIESEL;3,358;;;;;;;;;;;;
ago/20;OLEO DIESEL S10;3,431;;;;;;;;;;;;
out/20;ETANOL HIDRATADO;3,006;;;;;;;;;;;;
out/20;GASOLINA ADITIVADA;4,509;;;;;;;;;;;;
out/20;GASOLINA COMUM;4,358;;;;;;;;;;;;
out/20;GLP;71,611;;;;;;;;;;;;
out/20;GNV;2,879;;;;;;;;;;;;
out/20;OLEO DIESEL;3,454;;;;;;;;;;;;
out/20;OLEO DIESEL S10;3,582;;;;;;;;;;;;
nov/20;ETANOL HIDRATADO;3,103;;;;;;;;;;;;
nov/20;GASOLINA ADITIVADA;4,565;;;;;;;;;;;;
nov/20;GASOLINA COMUM;4,406;;;;;;;;;;;;
nov/20;GLP;73,206;;;;;;;;;;;;
nov/20;GNV;2,965;;;;;;;;;;;;
nov/20;OLEO DIESEL;3,514;;;;;;;;;;;;
nov/20;OLEO DIESEL S10;3,605;;;;;;;;;;;;
dez/20;ETANOL HIDRATADO;3,179;;;;;;;;;;;;
dez/20;GASOLINA ADITIVADA;4,619;;;;;;;;;;;;
dez/20;GASOLINA COMUM;4,483;;;;;;;;;;;;
dez/20;GLP;74,744;;;;;;;;;;;;
dez/20;GNV;3,090;;;;;;;;;;;;
dez/20;OLEO DIESEL;3,606;;;;;;;;;;;;
dez/20;OLEO DIESEL S10;3,683;;;;;;;;;;;;
jan/21;ETANOL HIDRATADO;3,221;;;;;;;;;;;;
jan/21;GASOLINA ADITIVADA;4,756;;;;;;;;;;;;
jan/21;GASOLINA COMUM;4,622;;;;;;;;;;;;
jan/21;GLP;76,860;;;;;;;;;;;;
jan/21;GNV;3,187;;;;;;;;;;;;
jan/21;OLEO DIESEL;3,696;;;;;;;;;;;;
jan/21;OLEO DIESEL S10;3,778;;;;;;;;;;;;
fev/21;ETANOL HIDRATADO;3,429;;;;;;;;;;;;
fev/21;GASOLINA ADITIVADA;5,088;;;;;;;;;;;;
fev/21;GASOLINA COMUM;4,951;;;;;;;;;;;;
fev/21;GLP;79,690;;;;;;;;;;;;
fev/21;GNV;3,207;;;;;;;;;;;;
fev/21;OLEO DIESEL;3,951;;;;;;;;;;;;
fev/21;OLEO DIESEL S10;4,007;;;;;;;;;;;;
mar/21;ETANOL HIDRATADO;4,038;;;;;;;;;;;;
mar/21;GASOLINA ADITIVADA;5,636;;;;;;;;;;;;
mar/21;GASOLINA COMUM;5,484;;;;;;;;;;;;
mar/21;GLP;83,158;;;;;;;;;;;;
mar/21;GNV;3,262;;;;;;;;;;;;
mar/21;OLEO DIESEL;4,252;;;;;;;;;;;;
mar/21;OLEO DIESEL S10;4,313;;;;;;;;;;;;
abr/21;ETANOL HIDRATADO;3,826;;;;;;;;;;;;
abr/21;GASOLINA ADITIVADA;5,601;;;;;;;;;;;;
abr/21;GASOLINA COMUM;5,448;;;;;;;;;;;;
abr/21;GLP;85,006;;;;;;;;;;;;
abr/21;GNV;3,276;;;;;;;;;;;;
abr/21;OLEO DIESEL;4,202;;;;;;;;;;;;
abr/21;OLEO DIESEL S10;4,263;;;;;;;;;;;;
mai/21;ETANOL HIDRATADO;4,250;;;;;;;;;;;;
mai/21;GASOLINA ADITIVADA;5,760;;;;;;;;;;;;
mai/21;GASOLINA COMUM;5,604;;;;;;;;;;;;
mai/21;GLP;85,374;;;;;;;;;;;;
mai/21;GNV;3,834;;;;;;;;;;;;
mai/21;OLEO DIESEL;4,470;;;;;;;;;;;;
mai/21;OLEO DIESEL S10;4,526;;;;;;;;;;;;
jun/21;ETANOL HIDRATADO;4,358;;;;;;;;;;;;
jun/21;GASOLINA ADITIVADA;5,829;;;;;;;;;;;;
jun/21;GASOLINA COMUM;5,687;;;;;;;;;;;;
jun/21;GLP;87,430;;;;;;;;;;;;
jun/21;GNV;3,876;;;;;;;;;;;;
jun/21;OLEO DIESEL;4,505;;;;;;;;;;;;
jun/21;OLEO DIESEL S10;4,569;;;;;;;;;;;;
jul/21;ETANOL HIDRATADO;4,318;;;;;;;;;;;;
jul/21;GASOLINA ADITIVADA;5,945;;;;;;;;;;;;
jul/21;GASOLINA COMUM;5,807;;;;;;;;;;;;
jul/21;GLP;91,916;;;;;;;;;;;;
jul/21;GNV;3,938;;;;;;;;;;;;
jul/21;OLEO DIESEL;4,589;;;;;;;;;;;;
jul/21;OLEO DIESEL S10;4,646;;;;;;;;;;;;
ago/21;ETANOL HIDRATADO;4,476;;;;;;;;;;;;
ago/21;GASOLINA ADITIVADA;6,068;;;;;;;;;;;;
ago/21;GASOLINA COMUM;5,933;;;;;;;;;;;;
ago/21;GLP;93,427;;;;;;;;;;;;
ago/21;GNV;4,037;;;;;;;;;;;;
ago/21;OLEO DIESEL;4,611;;;;;;;;;;;;
ago/21;OLEO DIESEL S10;4,670;;;;;;;;;;;;
set/21;ETANOL HIDRATADO;4,698;;;;;;;;;;;;
set/21;GASOLINA ADITIVADA;6,216;;;;;;;;;;;;
set/21;GASOLINA COMUM;6,078;;;;;;;;;;;;
set/21;GLP;97,736;;;;;;;;;;;;
set/21;GNV;4,136;;;;;;;;;;;;
set/21;OLEO DIESEL;4,728;;;;;;;;;;;;
set/21;OLEO DIESEL S10;4,773;;;;;;;;;;;;
out/21;ETANOL HIDRATADO;4,883;;;;;;;;;;;;
out/21;GASOLINA ADITIVADA;6,487;;;;;;;;;;;;
out/21;GASOLINA COMUM;6,341;;;;;;;;;;;;
out/21;GLP;100,782;;;;;;;;;;;;
out/21;GNV;4,145;;;;;;;;;;;;
out/21;OLEO DIESEL;5,033;;;;;;;;;;;;
out/21;OLEO DIESEL S10;5,096;;;;;;;;;;;;
nov/21;ETANOL HIDRATADO;5,370;;;;;;;;;;;;
nov/21;GASOLINA ADITIVADA;6,899;;;;;;;;;;;;
nov/21;GASOLINA COMUM;6,744;;;;;;;;;;;;
nov/21;GLP;102,444;;;;;;;;;;;;
nov/21;GNV;4,299;;;;;;;;;;;;
nov/21;OLEO DIESEL;5,359;;;;;;;;;;;;
nov/21;OLEO DIESEL S10;5,444;;;;;;;;;;;;
dez/21;ETANOL HIDRATADO;5,141;;;;;;;;;;;;
dez/21;GASOLINA ADITIVADA;6,824;;;;;;;;;;;;
dez/21;GASOLINA COMUM;6,670;;;;;;;;;;;;
dez/21;GLP;102,320;;;;;;;;;;;;
dez/21;GNV;4,341;;;;;;;;;;;;
dez/21;OLEO DIESEL;5,347;;;;;;;;;;;;
dez/21;OLEO DIESEL S10;5,424;;;;;;;;;;;;
jan/22;ETANOL HIDRATADO;5,038;;;;;;;;;;;;
jan/22;GASOLINA ADITIVADA;6,767;;;;;;;;;;;;
jan/22;GASOLINA COMUM;6,635;;;;;;;;;;;;
jan/22;GLP;102,408;;;;;;;;;;;;
jan/22;GNV;4,452;;;;;;;;;;;;
jan/22;OLEO DIESEL;5,497;;;;;;;;;;;;
jan/22;OLEO DIESEL S10;5,562;;;;;;;;;;;;
fev/22;ETANOL HIDRATADO;4,744;;;;;;;;;;;;
fev/22;GASOLINA ADITIVADA;6,727;;;;;;;;;;;;
fev/22;GASOLINA COMUM;6,600;;;;;;;;;;;;
fev/22;GLP;102,516;;;;;;;;;;;;
fev/22;GNV;4,635;;;;;;;;;;;;
fev/22;OLEO DIESEL;5,592;;;;;;;;;;;;
fev/22;OLEO DIESEL S10;5,655;;;;;;;;;;;;
mar/22;ETANOL HIDRATADO;4,842;;;;;;;;;;;;
mar/22;GASOLINA ADITIVADA;7,122;;;;;;;;;;;;
mar/22;GASOLINA COMUM;7,012;;;;;;;;;;;;
mar/22;GLP;109,310;;;;;;;;;;;;
mar/22;GNV;4,726;;;;;;;;;;;;
mar/22;OLEO DIESEL;6,288;;;;;;;;;;;;
mar/22;OLEO DIESEL S10;6,382;;;;;;;;;;;;
abr/22;ETANOL HIDRATADO;5,326;;;;;;;;;;;;
abr/22;GASOLINA ADITIVADA;7,344;;;;;;;;;;;;
abr/22;GASOLINA COMUM;7,245;;;;;;;;;;;;
abr/22;GLP;113,513;;;;;;;;;;;;
abr/22;GNV;4,764;;;;;;;;;;;;
abr/22;OLEO DIESEL;6,602;;;;;;;;;;;;
abr/22;OLEO DIESEL S10;6,733;;;;;;;;;;;;
mai/22;ETANOL HIDRATADO;5,27;;;;;;;;;;;;
mai/22;GASOLINA ADITIVADA;7,39;;;;;;;;;;;;
mai/22;GASOLINA COMUM;7,28;;;;;;;;;;;;
mai/22;GLP;112,86;;;;;;;;;;;;
mai/22;GNV;5,24;;;;;;;;;;;;
mai/22;OLEO DIESEL;6,84;;;;;;;;;;;;
mai/22;OLEO DIESEL S10;6,97;;;;;;;;;;;;
jun/22;ETANOL HIDRATADO;4,90;;;;;;;;;;;;
jun/22;GASOLINA ADITIVADA;7,35;;;;;;;;;;;;
jun/22;GASOLINA COMUM;7,25;;;;;;;;;;;;
jun/22;GLP;112,55;;;;;;;;;;;;
jun/22;GNV;5,30;;;;;;;;;;;;
jun/22;OLEO DIESEL;7,20;;;;;;;;;;;;
jun/22;OLEO DIESEL S10;7,32;;;;;;;;;;;;
jul/22;ETANOL HIDRATADO;4,36;;;;;;;;;;;;
jul/22;GASOLINA ADITIVADA;6,19;;;;;;;;;;;;
jul/22;GASOLINA COMUM;6,05;;;;;;;;;;;;
jul/22;GLP;112,07;;;;;;;;;;;;
jul/22;GNV;5,10;;;;;;;;;;;;
jul/22;OLEO DIESEL;7,46;;;;;;;;;;;;
jul/22;OLEO DIESEL S10;7,57;;;;;;;;;;;;
ago/22;ETANOL HIDRATADO;3,95;;;;;;;;;;;;
ago/22;GASOLINA ADITIVADA;5,55;;;;;;;;;;;;
ago/22;GASOLINA COMUM;5,39;;;;;;;;;;;;
ago/22;GLP;111,62;;;;;;;;;;;;
ago/22;GNV;5,05;;;;;;;;;;;;
ago/22;OLEO DIESEL;7,10;;;;;;;;;;;;
ago/22;OLEO DIESEL S10;7,19;;;;;;;;;;;;
set/22;ETANOL HIDRATADO;3,48;;;;;;;;;;;;
set/22;GASOLINA ADITIVADA;5,15;;;;;;;;;;;;
set/22;GASOLINA COMUM;5,00;;;;;;;;;;;;
set/22;GLP;112,36;;;;;;;;;;;;
set/22;GNV;4,99;;;;;;;;;;;;
set/22;OLEO DIESEL;6,85;;;;;;;;;;;;
set/22;OLEO DIESEL S10;6,94;;;;;;;;;;;;
out/22;ETANOL HIDRATADO;3,56;;;;;;;;;;;;
out/22;GASOLINA ADITIVADA;5,06;;;;;;;;;;;;
out/22;GASOLINA COMUM;4,89;;;;;;;;;;;;
out/22;GLP;109,75;;;;;;;;;;;;
out/22;GNV;4,90;;;;;;;;;;;;
out/22;OLEO DIESEL;6,56;;;;;;;;;;;;
out/22;OLEO DIESEL S10;6,68;;;;;;;;;;;;
nov/22;ETANOL HIDRATADO;3,83;;;;;;;;;;;;
nov/22;GASOLINA ADITIVADA;5,20;;;;;;;;;;;;
nov/22;GASOLINA COMUM;5,04;;;;;;;;;;;;
nov/22;GLP;110,17;;;;;;;;;;;;
nov/22;GNV;4,80;;;;;;;;;;;;
nov/22;OLEO DIESEL;6,58;;;;;;;;;;;;
nov/22;OLEO DIESEL S10;6,69;;;;;;;;;;;;
dez/22;ETANOL HIDRATADO;3,84;;;;;;;;;;;;
dez/22;GASOLINA ADITIVADA;5,15;;;;;;;;;;;;
dez/22;GASOLINA COMUM;4,97;;;;;;;;;;;;
dez/22;GLP;109,18;;;;;;;;;;;;
dez/22;GNV;4,77;;;;;;;;;;;;
dez/22;OLEO DIESEL;6,36;;;;;;;;;;;;
dez/22;OLEO DIESEL S10;6,49;;;;;;;;;;;;
jan/23;ETANOL HIDRATADO;3,88;;;;;;;;;;;;
jan/23;GASOLINA ADITIVADA;5,22;;;;;;;;;;;;
jan/23;GASOLINA COMUM;5,05;;;;;;;;;;;;
jan/23;GLP;108,27;;;;;;;;;;;;
jan/23;GNV;4,73;;;;;;;;;;;;
jan/23;OLEO DIESEL;6,33;;;;;;;;;;;;
jan/23;OLEO DIESEL S10;6,44;;;;;;;;;;;;
fev/23;ETANOL HIDRATADO;3,80;;;;;;;;;;;;
fev/23;GASOLINA ADITIVADA;5,27;;;;;;;;;;;;
fev/23;GASOLINA COMUM;5,09;;;;;;;;;;;;
fev/23;GLP;107,89;;;;;;;;;;;;
fev/23;GNV;4,60;;;;;;;;;;;;
fev/23;OLEO DIESEL;6,06;;;;;;;;;;;;
fev/23;OLEO DIESEL S10;6,16;;;;;;;;;;;;
mar/23;ETANOL HIDRATADO;3,93;;;;;;;;;;;;
mar/23;GASOLINA ADITIVADA;5,69;;;;;;;;;;;;
mar/23;GASOLINA COMUM;5,52;;;;;;;;;;;;
mar/23;GLP;107,56;;;;;;;;;;;;
mar/23;GNV;4,52;;;;;;;;;;;;
mar/23;OLEO DIESEL;5,88;;;;;;;;;;;;
mar/23;OLEO DIESEL S10;5,95;;;;;;;;;;;;
abr/23;ETANOL HIDRATADO;3,97;;;;;;;;;;;;
abr/23;GASOLINA ADITIVADA;5,68;;;;;;;;;;;;
abr/23;GASOLINA COMUM;5,51;;;;;;;;;;;;
abr/23;GLP;107,58;;;;;;;;;;;;
abr/23;GNV;4,51;;;;;;;;;;;;
abr/23;OLEO DIESEL;5,76;;;;;;;;;;;;
abr/23;OLEO DIESEL S10;5,81;;;;;;;;;;;;
mai/23;ETANOL HIDRATADO;3,97;;;;;;;;;;;;
mai/23;GASOLINA ADITIVADA;5,56;;;;;;;;;;;;
mai/23;GASOLINA COMUM;5,39;;;;;;;;;;;;
mai/23;GLP;107,29;;;;;;;;;;;;
mai/23;GNV;4,38;;;;;;;;;;;;
mai/23;OLEO DIESEL;5,37;;;;;;;;;;;;
mai/23;OLEO DIESEL S10;5,42;;;;;;;;;;;;
jun/23;ETANOL HIDRATADO;3,76;;;;;;;;;;;;
jun/23;GASOLINA ADITIVADA;5,57;;;;;;;;;;;;
jun/23;GASOLINA COMUM;5,38;;;;;;;;;;;;
jun/23;GLP;103,46;;;;;;;;;;;;
jun/23;GNV;4,29;;;;;;;;;;;;
jun/23;OLEO DIESEL;5,02;;;;;;;;;;;;
jun/23;OLEO DIESEL S10;5,08;;;;;;;;;;;;
jul/23;ETANOL HIDRATADO;3,79;;;;;;;;;;;;
jul/23;GASOLINA ADITIVADA;5,79;;;;;;;;;;;;
jul/23;GASOLINA COMUM;5,61;;;;;;;;;;;;
jul/23;GLP;101,99;;;;;;;;;;;;
jul/23;GNV;4,53;;;;;;;;;;;;
jul/23;OLEO DIESEL;4,94;;;;;;;;;;;;
jul/23;OLEO DIESEL S10;5,00;;;;;;;;;;;;
ago/23;ETANOL HIDRATADO;3,63;;;;;;;;;;;;
ago/23;GASOLINA ADITIVADA;5,88;;;;;;;;;;;;
ago/23;GASOLINA COMUM;5,71;;;;;;;;;;;;
ago/23;GLP;101,09;;;;;;;;;;;;
ago/23;GNV;4,44;;;;;;;;;;;;
ago/23;OLEO DIESEL;5,51;;;;;;;;;;;;
ago/23;OLEO DIESEL S10;5,61;;;;;;;;;;;;
set/23;ETANOL HIDRATADO;3,64;;;;;;;;;;;;
set/23;GASOLINA ADITIVADA;5,99;;;;;;;;;;;;
set/23;GASOLINA COMUM;5,83;;;;;;;;;;;;
set/23;GLP;101,41;;;;;;;;;;;;
set/23;GNV;4,39;;;;;;;;;;;;
set/23;OLEO DIESEL;6,08;;;;;;;;;;;;
set/23;OLEO DIESEL S10;6,20;;;;;;;;;;;;
out/23;ETANOL HIDRATADO;3,60;;;;;;;;;;;;
out/23;GASOLINA ADITIVADA;5,90;;;;;;;;;;;;
out/23;GASOLINA COMUM;5,73;;;;;;;;;;;;
out/23;GLP;101,76;;;;;;;;;;;;
out/23;GNV;4,33;;;;;;;;;;;;
out/23;OLEO DIESEL;6,08;;;;;;;;;;;;
out/23;OLEO DIESEL S10;6,22;;;;;;;;;;;;
nov/23;ETANOL HIDRATADO;3,56;;;;;;;;;;;;
nov/23;GASOLINA ADITIVADA;5,82;;;;;;;;;;;;
nov/23;GASOLINA COMUM;5,63;;;;;;;;;;;;
nov/23;GLP;101,38;;;;;;;;;;;;
nov/23;GNV;4,42;;;;;;;;;;;;
nov/23;OLEO DIESEL;6,08;;;;;;;;;;;;
nov/23;OLEO DIESEL S10;6,20;;;;;;;;;;;;
dez/23;ETANOL HIDRATADO;3,48;;;;;;;;;;;;
dez/23;GASOLINA ADITIVADA;5,79;;;;;;;;;;;;
dez/23;GASOLINA COMUM;5,60;;;;;;;;;;;;
dez/23;GLP;100,93;;;;;;;;;;;;
dez/23;GNV;4,44;;;;;;;;;;;;
dez/23;OLEO DIESEL;5,92;;;;;;;;;;;;
dez/23;OLEO DIESEL S10;6,02;;;;;;;;;;;;
jan/24;ETANOL HIDRATADO;3,42;;;;;;;;;;;;
jan/24;GASOLINA ADITIVADA;5,76;;;;;;;;;;;;
jan/24;GASOLINA COMUM;5,57;;;;;;;;;;;;
jan/24;GLP;100,88;;;;;;;;;;;;
jan/24;GNV;4,58;;;;;;;;;;;;
jan/24;OLEO DIESEL;5,86;;;;;;;;;;;;
jan/24;OLEO DIESEL S10;5,95;;;;;;;;;;;;
fev/24;ETANOL HIDRATADO;3,57;;;;;;;;;;;;
fev/24;GASOLINA ADITIVADA;5,95;;;;;;;;;;;;
fev/24;GASOLINA COMUM;5,75;;;;;;;;;;;;
fev/24;GLP;102,09;;;;;;;;;;;;
fev/24;GNV;4,56;;;;;;;;;;;;
fev/24;OLEO DIESEL;5,90;;;;;;;;;;;;
fev/24;OLEO DIESEL S10;5,97;;;;;;;;;;;;
mar/24;ETANOL HIDRATADO;3,58;;;;;;;;;;;;
mar/24;GASOLINA ADITIVADA;5,93;;;;;;;;;;;;
mar/24;GASOLINA COMUM;5,74;;;;;;;;;;;;
mar/24;GLP;102,18;;;;;;;;;;;;
mar/24;GNV;4,54;;;;;;;;;;;;
mar/24;OLEO DIESEL;5,86;;;;;;;;;;;;
mar/24;OLEO DIESEL S10;5,93;;;;;;;;;;;;
abr/24;ETANOL HIDRATADO;3,78;;;;;;;;;;;;
abr/24;GASOLINA ADITIVADA;5,99;;;;;;;;;;;;
abr/24;GASOLINA COMUM;5,80;;;;;;;;;;;;
abr/24;GLP;101,86;;;;;;;;;;;;
abr/24;GNV;4,54;;;;;;;;;;;;
abr/24;OLEO DIESEL;5,88;;;;;;;;;;;;
abr/24;OLEO DIESEL S10;5,94;;;;;;;;;;;;
mai/24;ETANOL HIDRATADO;3,82;;;;;;;;;;;;
mai/24;GASOLINA ADITIVADA;6,05;;;;;;;;;;;;
mai/24;GASOLINA COMUM;5,86;;;;;;;;;;;;
mai/24;GLP;101,61;;;;;;;;;;;;
mai/24;GNV;4,59;;;;;;;;;;;;
mai/24;OLEO DIESEL;5,88;;;;;;;;;;;;
mai/24;OLEO DIESEL S10;5,94;;;;;;;;;;;;
jun/24;ETANOL HIDRATADO;3,82;;;;;;;;;;;;
jun/24;GASOLINA ADITIVADA;6,05;;;;;;;;;;;;
jun/24;GASOLINA COMUM;5,85;;;;;;;;;;;;
jun/24;GLP;101,46;;;;;;;;;;;;
jun/24;GNV;4,58;;;;;;;;;;;;
jun/24;OLEO DIESEL;5,87;;;;;;;;;;;;
jun/24;OLEO DIESEL S10;5,93;;;;;;;;;;;;
jul/24;ETANOL HIDRATADO;4,02;;;;;;;;;;;;
jul/24;GASOLINA ADITIVADA;6,22;;;;;;;;;;;;
jul/24;GASOLINA COMUM;6,04;;;;;;;;;;;;
jul/24;GLP;102,59;;;;;;;;;;;;
jul/24;GNV;4,59;;;;;;;;;;;;
jul/24;OLEO DIESEL;5,94;;;;;;;;;;;;
jul/24;OLEO DIESEL S10;6,01;;;;;;;;;;;;
ago/24;ETANOL HIDRATADO;4,06;;;;;;;;;;;;
ago/24;GASOLINA ADITIVADA;6,29;;;;;;;;;;;;
ago/24;GASOLINA COMUM;6,11;;;;;;;;;;;;
ago/24;GLP;103,53;;;;;;;;;;;;
ago/24;GNV;4,72;;;;;;;;;;;;
ago/24;OLEO DIESEL;5,95;;;;;;;;;;;;
ago/24;OLEO DIESEL S10;6,02;;;;;;;;;;;;
set/24;ETANOL HIDRATADO;4,05;;;;;;;;;;;;
set/24;GASOLINA ADITIVADA;6,27;;;;;;;;;;;;
set/24;GASOLINA COMUM;6,08;;;;;;;;;;;;
set/24;GLP;106,04;;;;;;;;;;;;
set/24;GNV;4,71;;;;;;;;;;;;
set/24;OLEO DIESEL;5,94;;;;;;;;;;;;
set/24;OLEO DIESEL S10;6,01;;;;;;;;;;;;
out/24;ETANOL HIDRATADO;4,04;;;;;;;;;;;;
out/24;GASOLINA ADITIVADA;6,28;;;;;;;;;;;;
out/24;GASOLINA COMUM;6,09;;;;;;;;;;;;
out/24;GLP;106,57;;;;;;;;;;;;
out/24;GNV;4,68;;;;;;;;;;;;
out/24;OLEO DIESEL;5,95;;;;;;;;;;;;
out/24;OLEO DIESEL S10;6,02;;;;;;;;;;;;
nov/24;ETANOL HIDRATADO;4,05;;;;;;;;;;;;
nov/24;GASOLINA ADITIVADA;6,30;;;;;;;;;;;;
nov/24;GASOLINA COMUM;6,10;;;;;;;;;;;;
nov/24;GLP;106,84;;;;;;;;;;;;
nov/24;GNV;4,67;;;;;;;;;;;;
nov/24;OLEO DIESEL;5,98;;;;;;;;;;;;
nov/24;OLEO DIESEL S10;6,05;;;;;;;;;;;;
dez/24;ETANOL HIDRATADO;4,11;;;;;;;;;;;;
dez/24;GASOLINA ADITIVADA;6,34;;;;;;;;;;;;
dez/24;GASOLINA COMUM;6,14;;;;;;;;;;;;
dez/24;GLP;107,41;;;;;;;;;;;;
dez/24;GNV;4,65;;;;;;;;;;;;
dez/24;OLEO DIESEL;6,03;;;;;;;;;;;;
dez/24;OLEO DIESEL S10;6,11;;;;;;;;;;;;
jan/25;ETANOL HIDRATADO;4,21;;;;;;;;;;;;
jan/25;GASOLINA ADITIVADA;6,36;;;;;;;;;;;;
